acc,city,date,gyro,hr,id,latitude,longitude,ritmo,timestamp,userId,weather,weather_temperature
9.819934,Lisboa,03-05-2026 22:12:10,0.19,78.6,5e7EcsAlXiXPUP9Ax5yC,38.73312079423804,-9.136450899146809,19.532964,1777846330000,2618243a251bd83f,,17.06
9.805317,Coimbra,27-05-2026 04:19:49,0.23,95.8,P3whlIzHiUo1aWbtDRUI,40.19658485211016,-8.397380412924434,17.565843,1779855589000,bb4bb9fbcfcc16d1,,20.17
9.800732,Coimbra,13-05-2026 00:22:20,0.07,75.3,wjrm74UWhcZQANX744bp,40.20502441658324,-8.38743744195369,15.957452,1778631740000,82a83fc853728306,,11.1
9.798754,Braga,22-05-2026 16:08:29,0.09,69.9,RT3dpVczCoInW3XdiGso,41.52203368538972,-8.419721829616732,16.98073,1779466109000,234da97fe615c6b7,,12.35
9.839313,Lisboa,16-05-2026 13:36:06,0.02,77.7,t4jQHoAtrdJ8L4V6lORB,38.72648364417409,-9.120436473410944,16.434565,1778938566000,e84878f982129128,,15.82
9.812218,Coimbra,19-05-2026 12:04:38,0.11,68.5,HuSAAjtylWIEp2ot2TjZ,40.17883171676715,-8.421300340716805,17.321579,1779192278000,19a558ecc36977ce,,16.83
9.797966,Coimbra,21-05-2026 05:16:00,0.0,98.5,HiypqnvPf7C2xfIU1mdr,40.2256960457821,-8.4058891252335,16.740255,1779340560000,d5eb4d757b335d0e,,21.29
9.785583,Coimbra,04-05-2026 12:47:59,0.59,82.1,ZWLUQJnEn36vt96an7m9,40.21267829309256,-8.403023101048156,17.047397,1777898879000,5311a0642c2564ad,,18.79
9.824769,Porto,12-05-2026 18:38:29,0.03,81.7,MTnz6pJuXsyDIPwtqxG4,41.17123149161413,-8.61085866972039,17.553665,1778611109000,eb39e98aca20e7d3,,12.09
9.795603,Coimbra,23-05-2026 18:59:45,0.32,75.4,1u6nxuAcK3oVjbqJ7LLU,40.20146421777703,-8.388889951665293,18.459221,1779562785000,556be8558ce56421,,10.95
9.816482,Coimbra,12-05-2026 03:59:28,0.2,76.1,K1pFJP8RvqW0F9UPVFDk,40.19224037246579,-8.431780157123493,18.628158,1778558368000,42ac1a2bf982f79c,,22.12
