city,cluster,current_level_index,date,id,latitude,longitude,message,mode,progress_percentage,recommendation,ritmo,status,type,userId,user_id
Braga,Iniciante,5.17,2026-05-19T20:04:05,KYTp3XMsFwIxNG9Mptqp,40.2039196917829,-8.4047233817585,Bom progresso! Mantém a consistência.,Ritmo Iniciante,73.68,True,18.5126,Ativo,Convite,5a7b6516c51a4d4e,1bd749deaf799034
Lisboa,Iniciante,48.93,2026-05-06T06:28:31,wWs0GLqK2UudxpR71yi7,38.7139642264012,-9.13085476222592,Continua ativo para melhorares o teu ritmo.,Ritmo Iniciante,43.12,True,18.0368,Ativo,Match,d0825fdf3da3660c,d0825fdf3da3660c
Porto,Avançado,43.7,2026-05-28T16:06:46,AxZiZev3E4jsINvyTzu9,41.5435180897947,-8.41103183023558,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Expert,42.22,True,16.7065,Ativo,Atividade,06961ead71f8b1d8,eb39e98aca20e7d3
Braga,Moderado,68.16,2026-05-18T13:27:35,iS7AVg17YiZtFhm44bvk,40.2054005830597,-8.41961842534988,Continua ativo para melhorares o teu ritmo.,Ritmo Iniciante,39.49,True,17.9924,Matched,Convite,6f36a3307488809f,e1bd0a847e7079be
Braga,Iniciante,31.78,2026-05-12T02:24:33,GMgTPb3kYTf2hqUb4Lfu,41.1624122648291,-8.62349472780678,Bom progresso! Mantém a consistência.,Ritmo Expert,79.3,True,19.4725,Ativo,Match,57e17fffc619e182,556be8558ce56421
Lisboa,Moderado,19.49,2026-05-26T02:51:20,A29plEEdnzeZZLojGGZ0,41.5353508268713,-8.43017783525434,Bom progresso! Mantém a consistência.,Ritmo Avancado,72.96,True,17.6215,Pendente,Convite,5a7b6516c51a4d4e,234da97fe615c6b7
Porto,Iniciante,92.52,2026-05-22T05:50:37,RF6TYZLFUvivtig8DfW0,40.2135040161538,-8.40568895544988,Continua ativo para melhorares o teu ritmo.,Ritmo Avancado,83.43,True,19.2593,Ativo,Match,ce246387dd078174,102edb38b5ec347f
Braga,Moderado,69.29,2026-05-16T01:31:30,sPu0N87cuSn3DxYXPR0P,38.7225827179353,-9.14356217954032,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Expert,56.29,True,15.49,Ativo,Match,eb39e98aca20e7d3,d5eb4d757b335d0e
Coimbra,Iniciante,73.36,2026-05-30T21:03:31,7D0PkyKRbw5NYtCgmFmL,38.7116963041125,-9.14600389289594,Continua ativo para melhorares o teu ritmo.,Ritmo Iniciante,87,True,16.1883,Matched,Match,8e2e127651e9cbde,8e2e127651e9cbde
Lisboa,Avançado,70.6,2026-05-11T17:44:21,XlWYOv0rNFcFwgsKOZFA,38.7288534642217,-9.14150044571787,Continua ativo para melhorares o teu ritmo.,Ritmo Expert,30.98,True,15.797,Ativo,Convite,514af2be7dc985d8,2f2bd7547d602b7a
Braga,Avançado,35.98,2026-05-26T09:20:07,1r57EIJi2vxyRAgl4IO7,40.2107117190071,-8.42117071307353,Continua ativo para melhorares o teu ritmo.,Ritmo Iniciante,75.83,True,16.3046,Pendente,Convite,487b076a69a53671,4c885efe7bde3ff4
Porto,Avançado,37.79,2026-05-02T20:02:19,FZ0cIHCcqsKfPAQbESm8,41.5421621747727,-8.41494022861268,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Iniciante,81.02,True,21.8615,Pendente,Atividade,3db4e6efff8b7518,57e17fffc619e182
Braga,Avançado,79.13,2026-05-29T20:14:14,rQnyvMBVa04FvrY0XwqT,40.1970318185072,-8.41243985049821,Continua ativo para melhorares o teu ritmo.,Ritmo Avancado,18.68,True,20.1781,Ativo,Convite,487b076a69a53671,04964f8452901231
Lisboa,Iniciante,15.74,2026-05-11T14:52:33,g3viKSLxK3zfVZCOc8GH,41.1645650899239,-8.6350134113452,Bom progresso! Mantém a consistência.,Ritmo Expert,81.45,True,14.7692,Matched,Atividade,d57d393b16ba030e,daf96d2280390dec
Porto,Moderado,37.11,2026-05-09T21:49:35,tEitBnncWmtvISUs1aLQ,41.5499551992561,-8.42639223083999,Continua ativo para melhorares o teu ritmo.,Ritmo Avancado,92.83,True,19.3125,Ativo,Convite,7e8fb26408446272,b30b0b43692b035b
Lisboa,Iniciante,33.27,2026-05-02T21:23:29,REgY8LKzhoWS3RR10cBM,38.7276790195636,-9.1391839150274,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Expert,48.08,True,16.8283,Ativo,Match,c7f34dc43387f858,3cc68b8049eb8d4c
Lisboa,Iniciante,32.01,2026-05-26T18:44:33,FSiUrt9b1AKvm4x5TeFf,41.5523558398666,-8.43465000181829,Bom progresso! Mantém a consistência.,Ritmo Expert,12.47,True,15.9528,Ativo,Atividade,c7f34dc43387f858,c7f34dc43387f858
Coimbra,Iniciante,12.57,2026-05-10T21:54:09,0PXWI1cbcWgMvM49t7aH,41.542180218313,-8.42131150568443,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Avancado,69.11,True,13.5428,Pendente,Match,2618243a251bd83f,c31244cee16e0c77
Braga,Avançado,67,2026-05-20T01:56:14,h9sd8llyMwBZ8lVaNrG1,41.1457513738529,-8.62991059306836,Bom progresso! Mantém a consistência.,Ritmo Expert,70.48,True,20.9158,Pendente,Convite,487b076a69a53671,93279918e60ec274
Lisboa,Avançado,46.94,2026-05-24T01:43:27,i9geGnO6PeJSv4fSEuPp,41.1669821547172,-8.63394321807067,Continua ativo para melhorares o teu ritmo.,Ritmo Iniciante,97.05,True,13.9084,Matched,Atividade,514af2be7dc985d8,55b620d8c0ab41e0
Lisboa,Moderado,5.35,2026-05-08T04:57:29,r6ei9WMV0ivc9A24LJP2,41.5471835972379,-8.41135595040514,Continua ativo para melhorares o teu ritmo.,Ritmo Iniciante,17.77,True,17.8441,Pendente,Atividade,57e7d972b508815d,57e7d972b508815d
Braga,Avançado,85.13,2026-05-27T22:20:39,XarV39fZgxhATALvumNi,38.730359220801,-9.14274882936724,Bom progresso! Mantém a consistência.,Ritmo Iniciante,53.53,True,15.1611,Matched,Convite,d5eb4d757b335d0e,3993ad7e2565b6b0
Braga,Avançado,49.95,2026-05-03T10:13:54,YDFpbKJ7pNk7llHjhO99,38.7279481402992,-9.13638701785305,Bom progresso! Mantém a consistência.,Ritmo Iniciante,13.81,True,20.3275,Pendente,Convite,487b076a69a53671,ec75a53f04901eec
Braga,Avançado,99.67,2026-05-22T17:32:37,CCMfGwcztgMDSFoibnza,38.7170155740793,-9.13775706136256,Continua ativo para melhorares o teu ritmo.,Ritmo Expert,90.19,True,16.9969,Ativo,Match,13db178cd9a1e37a,13db178cd9a1e37a
Coimbra,Iniciante,37.35,2026-05-14T11:45:39,OU65AQD99BRnhVshSnRg,40.2140435439201,-8.39675359070903,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Avancado,60.98,True,17.5966,Ativo,Atividade,057c44d337463e07,0f98939ac68105bb
Porto,Avançado,4.94,2026-05-02T23:51:23,b6XBChx1yQznyISuBHHQ,41.5506060756396,-8.42753697955653,Bom progresso! Mantém a consistência.,Ritmo Iniciante,79.33,True,17.6978,Ativo,Atividade,06961ead71f8b1d8,34cbefbc28798720
Lisboa,Avançado,49.22,2026-05-18T12:03:33,iVAOzmdwAjRwVLCji27n,40.1993845592553,-8.40127504862824,Bom progresso! Mantém a consistência.,Ritmo Expert,2.43,True,18.9077,Ativo,Match,91279a646f8ea6ac,1b38ab967d98cc4e
Braga,Avançado,59.9,2026-05-15T00:26:49,W5QWcNgmna44FDk4zViM,41.5409228268482,-8.41291013742953,Bom progresso! Mantém a consistência.,Ritmo Iniciante,50.53,True,18.039,Pendente,Convite,487b076a69a53671,e9da39984fb29dc6
Braga,Avançado,90.25,2026-05-15T16:16:36,xZRTG6diTuDzNLSJxGLm,38.7178396078197,-9.1309178585048,Bom progresso! Mantém a consistência.,Ritmo Avancado,96.63,True,17.8702,Ativo,Match,13db178cd9a1e37a,4c885efe7bde3ff4
Lisboa,Moderado,90.46,2026-05-18T22:20:30,7I8KxPuoM02rwmrwkn04,41.1504060697043,-8.62381595538473,Bom progresso! Mantém a consistência.,Ritmo Avancado,74.06,True,16.4448,Ativo,Convite,2a339e8954684016,ae7ec9246c4649bc
Braga,Iniciante,73.62,2026-05-23T10:43:05,VTrlk68VpYrgpjtkAS6k,40.2014913450798,-8.40706282761298,Bom progresso! Mantém a consistência.,Ritmo Avancado,61.47,True,13.2758,Matched,Atividade,f7c6682ad24d37f8,f7c6682ad24d37f8
Porto,Avançado,22.6,2026-05-01T08:11:54,zyhNFmKUNyZ9qeE72WzQ,40.199555471923,-8.41728432844727,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Avancado,73.26,True,14.6443,Pendente,Match,9cbee3c1d7168837,75778bdb64d1008e
Braga,Avançado,37.63,2026-05-19T11:19:01,EblfAXKTHEbKe5j5TBAS,40.2033183090151,-8.42291301889975,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Expert,10.97,True,20.1554,Pendente,Convite,234da97fe615c6b7,e7eb35b501d57e1f
Braga,Moderado,63.3,2026-05-08T17:58:32,EeQwfn386njBLcfIF6Om,41.542509068216,-8.42299303482756,Continua ativo para melhorares o teu ritmo.,Ritmo Expert,24.56,True,17.0825,Pendente,Convite,102edb38b5ec347f,102edb38b5ec347f
Porto,Iniciante,68.25,2026-05-08T08:49:22,0ezPsrPDN8A3HIkqIMpi,38.7111804601569,-9.14374076094021,Bom progresso! Mantém a consistência.,Ritmo Iniciante,63.29,True,16.008,Pendente,Atividade,ce246387dd078174,ce246387dd078174
Braga,Moderado,97.41,2026-05-19T03:45:51,RHVHbYyf8EtFpGpVzYBN,38.717757431675,-9.14468801915333,Continua ativo para melhorares o teu ritmo.,Ritmo Expert,48.81,True,13.7828,Matched,Convite,102edb38b5ec347f,91279a646f8ea6ac
Coimbra,Moderado,31.6,2026-05-21T14:21:37,TZ2Rxuza2vLWlmmHLViu,38.7162822704925,-9.14368819198575,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Iniciante,41.96,True,12.8411,Matched,Convite,42ac1a2bf982f79c,514af2be7dc985d8
Lisboa,Moderado,25.55,2026-05-12T14:07:45,fm5vNcFVc3zDfwfuk3xY,41.150838328735,-8.624511643121,Bom progresso! Mantém a consistência.,Ritmo Avancado,71.04,True,15.8904,Matched,Atividade,b8e78b83a62a0cb7,cb4c1290e91970dd
Lisboa,Moderado,19.42,2026-05-04T06:48:40,lNL5fg1h1hXI4Sl9PYDM,41.544000380597,-8.43126502522573,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Avancado,71.71,True,20.6642,Ativo,Match,e1bd0a847e7079be,e1bd0a847e7079be
Lisboa,Moderado,58.39,2026-05-27T15:25:02,IVU1UL74lRdJwHYlrW8u,40.1993005944231,-8.40230287192473,Bom progresso! Mantém a consistência.,Ritmo Expert,90.8,True,16.3288,Ativo,Convite,3b1338c1207d1e2e,3b1338c1207d1e2e
Braga,Moderado,45.42,2026-05-16T17:00:15,O1wei34TVlUw0mFAPL4H,41.1503319018886,-8.62098036511437,Bom progresso! Mantém a consistência.,Ritmo Expert,52.23,True,19.2015,Matched,Atividade,e84878f982129128,e84878f982129128
Porto,Moderado,8.78,2026-05-02T21:32:19,VOwAooLgHVcOXEwSOF9y,38.7210326046853,-9.13589987949468,Bom progresso! Mantém a consistência.,Ritmo Avancado,27.79,True,16.1908,Matched,Convite,6214b1b462c04096,3993ad7e2565b6b0
Porto,Iniciante,60.47,2026-05-27T16:03:07,fXSctKW7JIdAKtrcA9m4,41.5456152674335,-8.42214181789703,Continua ativo para melhorares o teu ritmo.,Ritmo Expert,13.83,True,19.9166,Matched,Convite,7182af742e04dc6d,7182af742e04dc6d
Coimbra,Iniciante,24.56,2026-05-22T00:47:39,kxZyMCgAMMfD4uxQs0fp,40.2040215313448,-8.42311294180832,Continua ativo para melhorares o teu ritmo.,Ritmo Iniciante,3.19,True,16.9447,Ativo,Match,42d576864f9952c7,42d576864f9952c7
Porto,Moderado,74.04,2026-05-30T02:07:52,g2ZqZqYotWYOU9iqKQre,41.1618281458988,-8.6196825486186,Bom progresso! Mantém a consistência.,Ritmo Expert,73.66,True,14.3043,Ativo,Convite,da211edc7bac01a0,7182af742e04dc6d
Braga,Iniciante,12.1,2026-05-21T08:02:22,03Ke1fYlMsPOTKasVcej,38.71807685984,-9.14049319970544,Bom progresso! Mantém a consistência.,Ritmo Expert,13.73,True,17.1931,Pendente,Atividade,2f2bd7547d602b7a,42ac1a2bf982f79c
Braga,Avançado,30.41,2026-05-17T23:12:54,ISwAl9DwCECQDJWmkeOV,40.1955924152458,-8.40627364178316,Bom progresso! Mantém a consistência.,Ritmo Avancado,74.4,True,23.502,Pendente,Convite,d5eb4d757b335d0e,8dc02e5c153f83a3
Braga,Avançado,6.09,2026-05-03T15:25:11,ueZzXxw09NeueE8RIWUj,40.1987269074457,-8.40973506955793,Continua ativo para melhorares o teu ritmo.,Ritmo Expert,23.19,True,23.3697,Matched,Match,1791998ac3161359,42ac1a2bf982f79c
Coimbra,Iniciante,85.82,2026-05-30T01:11:24,ioS1CijqiGjmsqVZjNRd,41.5482262723573,-8.43585541286486,Bom progresso! Mantém a consistência.,Ritmo Expert,12.07,True,19.4596,Ativo,Atividade,64a94f9052422a0c,64a94f9052422a0c
Braga,Moderado,22.49,2026-05-08T09:32:56,js2IOrr4qrd6vgmQ1C3s,41.1455969503134,-8.63534825043628,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Avancado,54.4,True,17.5888,Pendente,Convite,6f36a3307488809f,e9da39984fb29dc6
Porto,Avançado,81.72,2026-05-08T10:45:50,P2qtNod8KSKHSkYmm1YU,38.7139006174057,-9.13757001569223,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Iniciante,89,True,18.9117,Pendente,Convite,4c885efe7bde3ff4,3bc1bf7fb69f3ba3
