<<<<<<< HEAD
city,cluster,current_level_index,date,id,latitude,longitude,message,mode,progress_percentage,recommendation,ritmo,status,type,userId,user_id
Coimbra,Moderado,5.17,2026-05-19T20:04:05,KYTp3XMsFwIxNG9Mptqp,40.20391969178293,-8.404723381758496,Bom progresso! Mantém a consistência.,Ritmo Iniciante,73.68,True,18.5126,active,invite,5a7b6516c51a4d4e,1bd749deaf799034
Lisboa,Iniciante,48.93,2026-05-06T06:28:31,wWs0GLqK2UudxpR71yi7,38.7139642264012,-9.13085476222592,Continua ativo para melhorares o teu ritmo.,Ritmo Iniciante,43.12,True,18.0368,active,match,d0825fdf3da3660c,d0825fdf3da3660c
Braga,Avançado,43.7,2026-05-28T16:06:46,AxZiZev3E4jsINvyTzu9,41.54351808979469,-8.411031830235583,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Expert,42.22,True,16.7065,active,activity,06961ead71f8b1d8,eb39e98aca20e7d3
Coimbra,Iniciante,68.16,2026-05-18T13:27:35,iS7AVg17YiZtFhm44bvk,40.20540058305967,-8.419618425349876,Continua ativo para melhorares o teu ritmo.,Ritmo Iniciante,39.49,True,17.9924,matched,invite,6f36a3307488809f,e1bd0a847e7079be
Porto,Moderado,31.78,2026-05-12T02:24:33,GMgTPb3kYTf2hqUb4Lfu,41.162412264829136,-8.623494727806776,Bom progresso! Mantém a consistência.,Ritmo Expert,79.3,True,19.4725,active,match,57e17fffc619e182,556be8558ce56421
Braga,Moderado,19.49,2026-05-26T02:51:20,A29plEEdnzeZZLojGGZ0,41.535350826871316,-8.430177835254337,Bom progresso! Mantém a consistência.,Ritmo Avancado,72.96,True,17.6215,pending,invite,5a7b6516c51a4d4e,234da97fe615c6b7
Coimbra,Iniciante,92.52,2026-05-22T05:50:37,RF6TYZLFUvivtig8DfW0,40.21350401615379,-8.405688955449879,Continua ativo para melhorares o teu ritmo.,Ritmo Avancado,83.43,True,19.2593,active,match,ce246387dd078174,102edb38b5ec347f
Lisboa,Avançado,69.29,2026-05-16T01:31:30,sPu0N87cuSn3DxYXPR0P,38.72258271793529,-9.143562179540316,Mantem a atividade para evoluir de Moderado para Avançado.,Ritmo Expert,56.29,True,15.49,active,match,eb39e98aca20e7d3,d5eb4d757b335d0e
Lisboa,Iniciante,73.36,2026-05-30T21:03:31,7D0PkyKRbw5NYtCgmFmL,38.71169630411245,-9.146003892895939,Continua ativo para melhorares o teu ritmo.,Ritmo Iniciante,87.0,True,16.1883,matched,match,8e2e127651e9cbde,8e2e127651e9cbde
Lisboa,Iniciante,70.6,2026-05-11T17:44:21,XlWYOv0rNFcFwgsKOZFA,38.72885346422167,-9.141500445717874,Continua ativo para melhorares o teu ritmo.,Ritmo Expert,30.98,True,15.797,active,invite,514af2be7dc985d8,2f2bd7547d602b7a
