city,cluster,current_level_index,date,id,latitude,longitude,message,mode,progress_percentage,recommendation,ritmo,status,type,userId,user_id
Braga,Avançado,,2026-05-09T16:22:46.978809,01RLLwtkHjc44zPtpAWU,41.54734333333333,-8.423885,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
,Avançado,,2026-05-07T22:59:55.846875,0O6EIJh1bEdoyUO05sLk,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
Porto,Avançado,,2026-05-09T16:29:46.961118,0bBHBVBbtFdzO1vSKduq,41.157943333333336,-8.629105,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
Braga,Avançado,,2026-05-08T22:07:19.006284,0h7XaMWlXyQyixW9FFBM,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,72bd2672c948d2cb,
Porto,Avançado,,2026-05-09T16:17:46.982857,0qVU0GLYi58BXppW8Ni0,41.157943333333336,-8.629105,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
Braga,Avançado,,2026-05-08T21:53:47.321486,1MorrTlwjUXQ8w09nFu1,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,72bd2672c948d2cb,
Braga,Avançado,,2026-05-08T22:18:45.683471,1ZrrGlhjgIfxF80vK5ax,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,72bd2672c948d2cb,
Porto,Avançado,,2026-05-09T16:50:16.980935,1dzMM9rj8TtEEpYJZV3t,41.157943333333336,-8.629105,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
Braga,Avançado,,2026-05-08T22:23:23.646776,1hkYnsHVThpmL3l7zAlS,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,72bd2672c948d2cb,
Braga,Avançado,,2026-05-08T22:09:13.276747,2F9Xme2rxpoPEFm6irYu,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,72bd2672c948d2cb,
,Avançado,,2026-05-07T22:55:25.868289,2ORCELhdKlrmikjWaVtr,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
,Avançado,1.0,2026-05-05 23:11:23.958226+00:00,2Scu5ksM3BcfZlgtd5ph,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,cluster_progression,47.33,True,17.71001281738281,,invite,,9d789fd91804129f
Braga,Avançado,,2026-05-08T22:01:49.005252,2WPao8hdNymUd0TWuaiS,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,72bd2672c948d2cb,
,Avançado,1.0,2026-05-06 22:13:56.562300+00:00,2bDtQGZwLzYGzFmRKxrK,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,cluster_progression,47.33,True,17.710009956359862,,invite,9d789fd91804129f,
,Expert,,2026-05-07T22:59:25.811044,2bjkSd4EnUYC2bp4XC55,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Avançado para Expert.,,,True,,,invite,9d789fd91804129f,
,Avançado,1.0,2026-05-05 23:24:55.468738+00:00,2tE7nL2V1yGNsnlDlxnV,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,cluster_progression,47.33,True,17.71000232696533,,invite,9d789fd91804129f,
Porto,Avançado,,2026-05-09T17:27:17.003532,3AmZlXRSAHtCBdMbqSGu,41.157943333333336,-8.629105,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
Porto,Avançado,,2026-05-09T16:13:46.978420,3D3gDjIRqXQNHTUmyYlt,41.157943333333336,-8.629105,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
Braga,Avançado,,2026-05-08T22:04:47.375897,3LUj4huSgllXkMNpn8I0,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,72bd2672c948d2cb,
Braga,Avançado,,2026-05-08T21:49:45.164534,3Lo5kvrGIA2AL4elLHNP,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,72bd2672c948d2cb,
,Avançado,1.0,2026-05-06 21:48:26.509037+00:00,3S2OAQHM9HYEeubCASbH,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,cluster_progression,47.33,True,17.710009956359862,,invite,9d789fd91804129f,
Braga,Avançado,,2026-05-15T00:01:39.989864,3fdpPfzCkB2jxICv7xp9,41.559475,-8.395923333333334,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
Porto,Avançado,,2026-05-09T17:16:16.967455,3kG70IlybssdR4pOGqbZ,41.157943333333336,-8.629105,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
Braga,Avançado,,2026-05-08T21:42:02.474444,3kXyxjYwpRec5wLxte99,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,9d789fd91804129f,
Braga,Avançado,,2026-05-08T22:38:49.382727,3uDBjwaYBsUlvUxciHpp,41.55343666666667,-8.393136666666667,Mantem a atividade para evoluir de Moderado para Avançado.,,,True,,,invite,72bd2672c948d2cb,
