acc,gyro,hr,latitude,longitude,city,ritmo,date,userId,weather_temperature
5.6806,1417191,66,37.297358,-7.259189,Setúbal,70.33,2024-04-11 18:45:27,user_0045,11.4
14.2656,3347526,69,39.370404,-7.57722,Viseu,75.65,2023-01-19 06:11:18,user_0071,5.1
11.0067,3477983,52,38.702925,-9.464547,Coimbra,172.72,2023-07-20 18:30:49,user_0007,22.1
9.02,8109074,192,41.262278,-8.804044,Setúbal,102.2,2023-06-12 22:39:07,user_0144,37.5
2.4247,689925,100,41.283398,-6.860835,Braga,199.71,2024-06-21 14:58:32,user_0126,14.9
2.4243,9435754,185,40.403898,-8.562373,Viseu,166.17,2024-05-08 23:46:30,user_0058,6.5
0.9654,9591140,190,40.178622,-7.802436,Lisboa,144.16,2024-10-13 06:59:09,user_0057,26.7
13.006,2681478,52,40.568442,-8.439205,Setúbal,197.71,2023-03-05 11:10:06,user_0170,7.0
9.0566,2993220,122,38.729935,-6.366809,Lisboa,104.28,2023-11-05 00:04:13,user_0111,22.7
10.6503,9148938,154,38.922596,-7.675638,Viseu,83.19,2023-01-22 18:02:50,user_0142,18.4
0.4067,2932878,167,39.668524,-7.13301,Braga,163.22,2023-06-09 14:32:14,user_0056,21.6
14.5517,2830527,83,41.590141,-9.216181,Aveiro,98.93,2024-01-04 21:49:28,user_0012,10.7
12.5034,6173049,186,40.519999,-9.362858,Évora,194.55,2023-01-20 08:54:36,user_0093,8.2
3.2639,6814276,111,39.654946,-8.618624,Aveiro,198.33,2023-05-26 03:38:08,user_0015,31.2
2.8092,822564,169,40.752065,-8.448943,Viseu,189.7,2024-04-19 09:58:31,user_0008,13.6
2.8327,8242184,164,38.754452,-7.161886,Viseu,192.27,2024-02-02 19:22:29,user_0186,33.0
4.6332,5044316,62,40.552334,-7.564956,Porto,146.19,2023-06-10 22:07:10,user_0053,31.5
7.9189,5658565,118,38.953381,-8.226429,Viseu,156.9,2024-03-06 03:56:05,user_0137,11.9
6.536,3471888,126,38.298307,-7.276001,Évora,73.19,2024-08-13 21:13:17,user_0174,36.8
4.4393,8256327,50,39.94862,-8.943876,Coimbra,166.83,2023-01-05 17:51:29,user_0092,10.6
9.2166,7537812,138,40.334388,-9.284135,Lisboa,88.29,2024-08-11 05:57:11,user_0007,32.9
2.1785,2548600,96,39.196468,-6.594683,Braga,177.65,2024-05-24 15:24:07,user_0044,19.7
4.453,4943114,53,39.727504,-7.582583,Faro,194.61,2023-09-06 09:11:20,user_0014,11.4
5.5588,5198245,59,40.37033,-7.293076,Viseu,89.73,2023-04-24 12:00:03,user_0075,37.8
6.8954,1985404,77,40.73855,-8.455376,Aveiro,70.92,2024-11-29 18:22:22,user_0115,38.7
11.7991,7741986,170,41.377857,-8.235353,Porto,127.74,2023-09-03 17:08:11,user_0092,22.9
3.0751,6787702,175,38.672721,-9.219951,Porto,170.82,2023-03-09 16:54:25,user_0134,21.4
7.7621,2126861,183,41.657386,-6.58624,Aveiro,167.89,2023-03-12 14:28:15,user_0163,36.5
8.927,3779337,189,40.086399,-7.485706,Leiria,157.55,2024-09-10 16:06:04,user_0198,25.9
0.7921,2051723,111,40.838509,-9.215666,Viseu,174.9,2024-03-16 17:16:48,user_0189,14.3
9.1524,6289189,116,40.398845,-6.764599,Lisboa,84.5,2024-08-12 04:53:14,user_0152,19.9
2.6408,1048939,123,37.927859,-7.990008,Porto,151.27,2024-06-16 16:54:03,user_0073,34.3
1.0693,4689133,144,37.257192,-6.898655,Coimbra,144.8,2024-01-27 10:42:58,user_0130,35.1
14.2384,4178465,192,40.531432,-9.457092,Braga,81.48,2024-12-11 08:59:17,user_0179,37.9
14.4879,8785064,85,39.455263,-9.402285,Lisboa,118.02,2023-10-04 07:55:20,user_0031,15.1
