actionId,date,userId
decrease_intensity,2024-07-10 15:43:31,user_0156
maintain_pace,2024-08-11 16:17:15,user_0191
change_style,2023-06-26 11:29:32,user_0094
change_style,2024-03-25 04:25:15,user_0003
maintain_pace,2023-11-16 19:39:43,user_0052
maintain_pace,2023-04-15 05:07:57,user_0044
increase_intensity,2024-03-11 19:27:57,user_0060
take_break,2023-01-30 23:13:45,user_0058
take_break,2024-11-12 12:56:42,user_0095
increase_intensity,2024-07-13 18:09:50,user_0142
take_break,2023-05-18 22:44:39,user_0134
change_style,2023-06-03 14:45:26,user_0019
decrease_intensity,2023-08-21 01:58:52,user_0190
change_style,2024-02-20 05:23:58,user_0005
increase_intensity,2024-11-23 11:17:11,user_0177
take_break,2023-09-07 04:24:29,user_0179
take_break,2024-11-24 19:15:36,user_0123
decrease_intensity,2024-11-03 22:37:58,user_0026
decrease_intensity,2023-09-13 14:03:13,user_0114
decrease_intensity,2023-05-27 11:22:32,user_0184
change_style,2024-04-15 05:14:53,user_0108
increase_intensity,2023-10-13 15:47:01,user_0018
increase_intensity,2023-04-22 18:16:06,user_0173
increase_intensity,2023-08-02 00:26:02,user_0009
change_style,2023-02-16 11:08:13,user_0090
maintain_pace,2023-05-15 07:02:04,user_0130
take_break,2023-05-22 20:49:15,user_0122
change_style,2024-04-25 08:22:26,user_0042
increase_intensity,2023-11-17 09:01:49,user_0109
change_style,2024-09-28 01:49:46,user_0070
change_style,2023-02-20 15:35:17,user_0084
maintain_pace,2023-06-29 09:59:51,user_0072
decrease_intensity,2024-01-21 20:18:42,user_0109
increase_intensity,2024-02-11 12:04:00,user_0068
change_style,2023-04-15 15:43:39,user_0089
decrease_intensity,2024-12-04 20:22:22,user_0031
take_break,2023-02-11 09:36:50,user_0122
take_break,2024-05-14 21:02:41,user_0019
take_break,2023-10-27 05:52:17,user_0071
change_style,2024-01-26 00:28:34,user_0175
change_style,2024-03-27 13:37:50,user_0037
maintain_pace,2023-05-05 00:54:54,user_0094
increase_intensity,2024-11-11 22:39:57,user_0019
decrease_intensity,2023-09-28 08:55:12,user_0093
take_break,2023-04-15 17:52:59,user_0153
decrease_intensity,2023-03-17 18:26:46,user_0053
maintain_pace,2023-06-20 13:45:27,user_0075
take_break,2023-10-06 06:51:30,user_0132
decrease_intensity,2024-02-15 18:42:29,user_0046
increase_intensity,2024-08-17 00:07:48,user_0159
increase_intensity,2024-07-15 03:32:38,user_0036
maintain_pace,2023-03-29 08:07:46,user_0132
decrease_intensity,2023-06-13 21:33:23,user_0130
maintain_pace,2024-04-03 15:34:51,user_0167
maintain_pace,2024-02-16 10:57:03,user_0044
maintain_pace,2023-02-23 23:08:55,user_0091
change_style,2024-04-18 16:04:23,user_0090
increase_intensity,2024-10-26 21:25:00,user_0147
change_style,2024-11-15 03:56:08,user_0121
change_style,2024-04-15 16:43:24,user_0108
increase_intensity,2023-07-26 04:50:50,user_0041
maintain_pace,2024-03-25 17:10:48,user_0122
decrease_intensity,2023-11-25 06:14:22,user_0103
maintain_pace,2024-06-30 02:10:33,user_0097
maintain_pace,2024-05-13 12:04:41,user_0038
change_style,2024-03-23 04:54:03,user_0193
decrease_intensity,2023-09-09 22:57:44,user_0114
increase_intensity,2024-12-22 05:21:55,user_0163
take_break,2023-11-29 03:19:28,user_0011
increase_intensity,2024-11-02 04:21:09,user_0187
decrease_intensity,2023-04-22 18:58:34,user_0078
increase_intensity,2024-01-27 14:41:09,user_0070
change_style,2023-09-20 21:34:04,user_0043
decrease_intensity,2023-04-16 10:01:03,user_0104
take_break,2024-04-10 01:52:23,user_0089
take_break,2023-05-08 06:40:02,user_0118
decrease_intensity,2024-12-07 04:19:21,user_0005
increase_intensity,2024-12-30 08:56:28,user_0154
take_break,2024-10-05 19:32:41,user_0032
decrease_intensity,2023-09-26 16:43:41,user_0047
decrease_intensity,2023-01-16 06:49:06,user_0184
decrease_intensity,2024-08-10 23:29:32,user_0090
maintain_pace,2023-04-16 02:35:44,user_0050
increase_intensity,2023-12-02 18:00:35,user_0099
decrease_intensity,2024-06-02 19:12:56,user_0186
decrease_intensity,2024-01-31 07:03:15,user_0156
maintain_pace,2023-06-15 16:47:16,user_0095
change_style,2023-10-21 15:05:10,user_0079
maintain_pace,2024-09-05 07:10:16,user_0183
decrease_intensity,2023-09-15 15:31:58,user_0058
increase_intensity,2024-11-18 13:45:24,user_0168
maintain_pace,2023-11-04 10:23:03,user_0186
decrease_intensity,2023-11-01 22:33:10,user_0072
increase_intensity,2024-06-19 10:01:53,user_0174
maintain_pace,2023-11-21 01:00:12,user_0074
take_break,2023-10-11 13:31:07,user_0173
increase_intensity,2023-09-23 09:34:32,user_0138
decrease_intensity,2023-08-26 23:42:44,user_0102
increase_intensity,2023-10-19 04:25:52,user_0048
increase_intensity,2024-06-12 00:21:03,user_0190
decrease_intensity,2023-05-31 07:37:55,user_0028
take_break,2023-06-08 09:07:37,user_0114
increase_intensity,2023-05-20 09:42:29,user_0020
decrease_intensity,2023-05-23 01:25:33,user_0088
increase_intensity,2024-09-29 17:34:46,user_0070
change_style,2024-04-26 07:23:28,user_0041
take_break,2024-03-27 18:42:42,user_0112
change_style,2024-10-19 06:12:28,user_0096
increase_intensity,2024-02-05 04:33:38,user_0006
take_break,2024-07-11 16:52:10,user_0139
decrease_intensity,2023-10-25 23:48:20,user_0030
change_style,2024-04-15 02:52:51,user_0131
take_break,2023-06-05 20:45:34,user_0200
take_break,2023-04-14 04:07:39,user_0161
increase_intensity,2023-03-21 07:33:04,user_0054
change_style,2024-04-21 03:11:59,user_0175
decrease_intensity,2023-08-08 05:36:40,user_0010
maintain_pace,2024-08-31 00:11:45,user_0019
increase_intensity,2024-07-19 10:36:02,user_0009
take_break,2024-03-31 05:24:12,user_0135
change_style,2023-02-07 03:31:03,user_0061
maintain_pace,2023-06-08 12:57:39,user_0014
take_break,2024-02-07 17:39:45,user_0002
change_style,2023-04-25 09:43:22,user_0150
change_style,2023-10-08 12:46:10,user_0188
maintain_pace,2024-01-13 18:36:54,user_0045
take_break,2023-05-12 15:07:22,user_0020
maintain_pace,2023-11-20 09:00:56,user_0026
decrease_intensity,2024-05-21 14:20:51,user_0187
increase_intensity,2023-10-09 18:12:22,user_0196
increase_intensity,2024-05-01 21:43:36,user_0039
decrease_intensity,2023-07-19 12:33:57,user_0151
take_break,2024-06-28 13:25:27,user_0153
maintain_pace,2024-02-16 06:08:14,user_0116
increase_intensity,2023-04-24 18:35:29,user_0181
decrease_intensity,2023-10-21 08:52:33,user_0125
change_style,2024-07-24 18:10:05,user_0139
increase_intensity,2023-05-25 09:37:36,user_0025
increase_intensity,2023-10-28 05:47:45,user_0159
decrease_intensity,2023-12-09 01:31:02,user_0174
maintain_pace,2024-09-25 15:53:14,user_0155
increase_intensity,2023-04-06 07:19:30,user_0100
maintain_pace,2024-11-10 19:32:35,user_0063
decrease_intensity,2023-08-19 20:04:47,user_0115
change_style,2024-11-12 02:30:51,user_0047
increase_intensity,2024-03-22 23:55:55,user_0142
maintain_pace,2024-06-20 18:45:53,user_0023
maintain_pace,2024-10-01 10:03:29,user_0016
take_break,2024-05-08 14:50:18,user_0148
maintain_pace,2024-07-28 11:34:43,user_0131
maintain_pace,2023-03-04 14:20:27,user_0006
decrease_intensity,2023-01-07 07:52:31,user_0029
maintain_pace,2024-09-21 10:36:25,user_0004
take_break,2023-02-08 12:13:38,user_0193
change_style,2024-09-14 09:34:05,user_0114
take_break,2023-08-17 16:54:31,user_0008
change_style,2024-10-20 07:36:06,user_0048
increase_intensity,2023-05-29 04:41:01,user_0084
change_style,2023-04-20 22:33:48,user_0016
change_style,2023-06-05 11:58:03,user_0047
take_break,2024-09-05 16:41:15,user_0031
decrease_intensity,2023-09-22 22:42:35,user_0096
decrease_intensity,2024-10-25 17:58:58,user_0122
change_style,2024-03-01 22:01:05,user_0029
take_break,2024-08-27 15:01:08,user_0076
decrease_intensity,2023-12-13 19:31:48,user_0068
decrease_intensity,2024-05-28 15:07:42,user_0119
take_break,2023-07-31 12:15:47,user_0171
change_style,2023-03-16 02:16:15,user_0034
increase_intensity,2024-02-15 04:16:11,user_0006
take_break,2024-10-19 14:18:53,user_0049
take_break,2023-04-21 23:20:09,user_0188
take_break,2023-10-31 02:03:23,user_0051
change_style,2024-01-24 13:59:12,user_0009
change_style,2024-03-27 08:25:17,user_0133
take_break,2023-04-26 13:04:22,user_0110
decrease_intensity,2024-02-08 04:40:03,user_0192
increase_intensity,2023-12-09 18:49:32,user_0016
maintain_pace,2024-12-18 19:28:08,user_0187
take_break,2024-05-18 16:09:51,user_0184
